0xF9DF	U+2557		# BOX DRAWINGS DOUBLE DOWN AND LEFT
0xF9E0	U+2560		# BOX DRAWINGS DOUBLE VERTICAL AND RIGHT
0xF9E1	U+256C		# BOX DRAWINGS DOUBLE VERTICAL AND HORIZONTAL
0xF9E2	U+2563		# BOX DRAWINGS DOUBLE VERTICAL AND LEFT
0xF9E3	U+255A		# BOX DRAWINGS DOUBLE UP AND RIGHT
0xF9E4	U+2569		# BOX DRAWINGS DOUBLE UP AND HORIZONTAL
0xF9E5	U+255D		# BOX DRAWINGS DOUBLE UP AND LEFT
0xF9E6	U+2552		# BOX DRAWINGS DOWN SINGLE AND RIGHT DOUBLE
0xF9E7	U+2564		# BOX DRAWINGS DOWN SINGLE AND HORIZONTAL DOUBLE
0xF9E8	U+2555		# BOX DRAWINGS DOWN SINGLE AND LEFT DOUBLE
0xF9E9	U+255E		# 0xA2A5 BOX DRAWINGS VERTICAL SINGLE AND RIGHT DOUBLE
0xF9EA	U+256A		# 0xA2A6 BOX DRAWINGS VERTICAL SINGLE AND HORIZONTAL DOUBLE
0xF9EB	U+2561		# 0xA2A7 BOX DRAWINGS VERTICAL SINGLE AND LEFT DOUBLE
0xF9EC	U+2558		# BOX DRAWINGS UP SINGLE AND RIGHT DOUBLE
0xF9ED	U+2567		# BOX DRAWINGS UP SINGLE AND HORIZONTAL DOUBLE
0xF9EE	U+255B		# BOX DRAWINGS UP SINGLE AND LEFT DOUBLE
0xF9EF	U+2553		# BOX DRAWINGS DOWN DOUBLE AND RIGHT SINGLE
0xF9F0	U+2565		# BOX DRAWINGS DOWN DOUBLE AND HORIZONTAL SINGLE
0xF9F1	U+2556		# BOX DRAWINGS DOWN DOUBLE AND LEFT SINGLE
0xF9F2	U+255F		# BOX DRAWINGS VERTICAL DOUBLE AND RIGHT SINGLE
0xF9F3	U+256B		# BOX DRAWINGS VERTICAL DOUBLE AND HORIZONTAL SINGLE
0xF9F4	U+2562		# BOX DRAWINGS VERTICAL DOUBLE AND LEFT SINGLE
0xF9F5	U+2559		# BOX DRAWINGS UP DOUBLE AND RIGHT SINGLE
0xF9F6	U+2568		# BOX DRAWINGS UP DOUBLE AND HORIZONTAL SINGLE
0xF9F7	U+255C		# BOX DRAWINGS UP DOUBLE AND LEFT SINGLE
0xF9F8	U+2551		# BOX DRAWINGS DOUBLE VERTICAL
0xF9F9	U+2550		# 0xA2A4 BOX DRAWINGS DOUBLE HORIZONTAL
0xF9FA	U+256D		# 0xA27E BOX DRAWINGS LIGHT ARC DOWN AND RIGHT
0xF9FB	U+256E		# 0xA2A1 BOX DRAWINGS LIGHT ARC DOWN AND LEFT
0xF9FC	U+2570		# 0xA2A2 BOX DRAWINGS LIGHT ARC UP AND RIGHT
0xF9FD	U+256F		# 0xA2A3 BOX DRAWINGS LIGHT ARC UP AND LEFT
0xF9FE	U+2593		# DARK SHADE
